surfaces,tiers,odds_min,odds_max,edge_thresh,staking,bets,win_rate,roi,clv,sharpe,total_pnl,total_staked
Clay+Hard,Grand Slam+Masters 1000,1.5,3.5,0.06,half-Kelly,228,0.4561,-5.34,12.749,-0.523,-0.747,13.997
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.5,0.06,quarter-Kelly,228,0.4561,-5.34,12.749,-0.523,-0.374,6.998
Clay+Hard,ATP 250+Masters 1000,2.0,3.25,0.07,quarter-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.099,1.86
Clay+Hard,Masters 1000,2.0,3.25,0.07,quarter-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.099,1.86
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.5,0.06,half-Kelly,228,0.4561,-5.34,12.749,-0.523,-0.747,13.997
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.25,3.5,0.03,flat,308,0.3604,-5.34,10.489,-0.734,-16.44,308.0
Clay+Grass+Hard,ATP 250+Masters 1000,2.0,3.25,0.07,quarter-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.099,1.86
Clay+Grass+Hard,ATP 250+Masters 1000,2.0,3.25,0.07,half-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.199,3.72
Clay+Hard,ATP 250+Masters 1000,2.0,3.25,0.07,half-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.199,3.72
Clay+Grass+Hard,Masters 1000,2.0,3.25,0.07,half-Kelly,81,0.4074,-5.34,12.865,-0.024,-0.199,3.72
Clay+Grass+Hard,ATP 500+Masters 1000,2.5,3.75,0.04,half-Kelly,184,0.3098,-5.35,11.21,-1.024,-0.29,5.423
Clay+Grass+Hard,ATP 500+Masters 1000,2.5,3.75,0.04,quarter-Kelly,184,0.3098,-5.35,11.21,-1.024,-0.145,2.711
Clay+Grass+Hard,Grand Slam+Masters 1000,1.5,2.5,0.07,quarter-Kelly,166,0.5,-5.35,12.872,-0.612,-0.327,6.119
Clay+Grass+Hard,Grand Slam+Masters 1000,1.5,2.5,0.07,half-Kelly,166,0.5,-5.35,12.872,-0.612,-0.655,12.237
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.5,3.75,0.04,quarter-Kelly,184,0.3098,-5.35,11.21,-1.024,-0.145,2.711
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.5,3.75,0.04,half-Kelly,184,0.3098,-5.35,11.21,-1.024,-0.29,5.423
Grass+Hard,ATP 500+Grand Slam,1.75,3.0,0.03,flat,296,0.4324,-5.35,11.565,-0.832,-15.83,296.0
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,1.5,2.5,0.07,half-Kelly,166,0.5,-5.35,12.872,-0.612,-0.655,12.237
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,1.5,2.5,0.07,quarter-Kelly,166,0.5,-5.35,12.872,-0.612,-0.327,6.119
Grass+Hard,ATP 250+ATP 500+Grand Slam,1.75,3.0,0.03,flat,296,0.4324,-5.35,11.565,-0.832,-15.83,296.0
Hard,ATP 250+ATP 500+Grand Slam,2.5,4.0,0.06,quarter-Kelly,73,0.3151,-5.35,13.285,-0.406,-0.065,1.219
Hard,ATP 250+ATP 500+Grand Slam,2.5,4.0,0.06,half-Kelly,73,0.3151,-5.35,13.285,-0.406,-0.13,2.438
Hard,ATP 500+Grand Slam,2.5,4.0,0.06,quarter-Kelly,73,0.3151,-5.35,13.285,-0.406,-0.065,1.219
Hard,ATP 500+Grand Slam,2.5,4.0,0.06,half-Kelly,73,0.3151,-5.35,13.285,-0.406,-0.13,2.438
Clay+Hard,ATP 250+ATP 500,1.75,3.0,0.05,flat,255,0.4353,-5.36,12.546,-0.778,-13.68,255.0
Clay+Hard,ATP 500,1.75,3.0,0.05,flat,255,0.4353,-5.36,12.546,-0.778,-13.68,255.0
Clay+Hard,Grand Slam+Masters 1000,2.25,3.0,0.07,quarter-Kelly,65,0.4154,-5.36,13.896,0.197,-0.08,1.486
Clay+Hard,Grand Slam+Masters 1000,1.75,4.0,0.05,flat,206,0.3883,-5.36,12.562,-0.621,-11.04,206.0
Clay+Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.0,0.07,quarter-Kelly,65,0.4154,-5.36,13.896,0.197,-0.08,1.486
Clay+Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.0,0.07,half-Kelly,65,0.4154,-5.36,13.896,0.197,-0.159,2.972
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.75,4.0,0.05,flat,206,0.3883,-5.36,12.562,-0.621,-11.04,206.0
Grass+Hard,ATP 500+Grand Slam,1.75,3.0,0.05,flat,245,0.4327,-5.36,13.16,-0.758,-13.12,245.0
Grass+Hard,ATP 250+ATP 500+Grand Slam,1.75,3.0,0.05,flat,245,0.4327,-5.36,13.16,-0.758,-13.12,245.0
Clay+Hard,Grand Slam+Masters 1000,2.25,3.0,0.07,half-Kelly,65,0.4154,-5.36,13.896,0.197,-0.159,2.972
Clay+Hard,ATP 500+Masters 1000,1.5,4.0,0.05,half-Kelly,611,0.4664,-5.37,11.676,-0.974,-1.912,35.6
Clay+Hard,ATP 500+Masters 1000,1.5,4.0,0.05,quarter-Kelly,611,0.4664,-5.37,11.676,-0.974,-0.956,17.8
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,4.0,0.05,half-Kelly,611,0.4664,-5.37,11.676,-0.974,-1.912,35.6
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,4.0,0.05,quarter-Kelly,611,0.4664,-5.37,11.676,-0.974,-0.956,17.8
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,3.5,0.07,flat,316,0.4082,-5.38,14.069,-0.818,-17.01,316.0
Clay+Hard,Grand Slam+Masters 1000,2.25,3.0,0.04,flat,87,0.3793,-5.38,11.765,-0.413,-4.68,87.0
Grass+Hard,ATP 500+Grand Slam+Masters 1000,1.75,3.5,0.07,flat,316,0.4082,-5.38,14.069,-0.818,-17.01,316.0
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,3.75,0.05,flat,673,0.4606,-5.38,11.761,-1.298,-36.24,673.0
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.05,flat,673,0.4606,-5.38,11.761,-1.298,-36.24,673.0
Clay+Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.0,0.04,flat,87,0.3793,-5.38,11.765,-0.413,-4.68,87.0
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.25,0.05,half-Kelly,569,0.4798,-5.38,11.619,-1.047,-1.859,34.571
Clay+Grass+Hard,Grand Slam+Masters 1000,1.75,2.75,0.03,flat,193,0.4301,-5.38,11.248,-0.677,-10.39,193.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.25,0.05,quarter-Kelly,569,0.4798,-5.38,11.619,-1.047,-0.93,17.286
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,1.75,2.75,0.03,flat,193,0.4301,-5.38,11.248,-0.677,-10.39,193.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.25,0.05,half-Kelly,569,0.4798,-5.38,11.619,-1.047,-1.859,34.571
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.25,0.05,quarter-Kelly,569,0.4798,-5.38,11.619,-1.047,-0.93,17.286
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.25,0.06,quarter-Kelly,214,0.4626,-5.39,12.672,-0.745,-0.366,6.793
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.25,0.06,half-Kelly,214,0.4626,-5.39,12.672,-0.745,-0.732,13.585
Clay+Hard,Grand Slam+Masters 1000,1.5,3.25,0.06,half-Kelly,214,0.4626,-5.39,12.672,-0.745,-0.732,13.585
Clay+Hard,Grand Slam+Masters 1000,1.5,3.25,0.06,quarter-Kelly,214,0.4626,-5.39,12.672,-0.745,-0.366,6.793
Clay+Hard,ATP 500+Grand Slam+Masters 1000,1.75,2.75,0.05,flat,380,0.4395,-5.4,12.518,-0.969,-20.53,380.0
Grass+Hard,ATP 500+Grand Slam,2.0,2.75,0.03,flat,174,0.4023,-5.4,12.287,-0.614,-9.4,174.0
Grass+Hard,ATP 250+ATP 500+Grand Slam,2.0,2.75,0.03,flat,174,0.4023,-5.4,12.287,-0.614,-9.4,174.0
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,2.75,0.05,flat,380,0.4395,-5.4,12.518,-0.969,-20.53,380.0
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,3.75,0.05,flat,174,0.3218,-5.41,12.485,-0.515,-9.42,174.0
Hard,ATP 250+ATP 500,1.5,3.5,0.06,half-Kelly,222,0.4775,-5.41,12.926,-0.406,-0.779,14.379
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.0,2.75,0.06,half-Kelly,183,0.4044,-5.41,13.87,-0.502,-0.524,9.688
Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.0,2.75,0.06,quarter-Kelly,183,0.4044,-5.41,13.87,-0.502,-0.262,4.844
Clay+Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.25,4.0,0.07,half-Kelly,269,0.3532,-5.41,13.868,-0.504,-0.594,10.977
Clay+Hard,Grand Slam+Masters 1000,1.5,3.5,0.07,half-Kelly,209,0.4545,-5.41,13.322,-0.576,-0.723,13.362
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.5,0.07,half-Kelly,209,0.4545,-5.41,13.322,-0.576,-0.723,13.362
Clay+Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.25,4.0,0.07,half-Kelly,269,0.3532,-5.41,13.868,-0.504,-0.594,10.977
Hard,ATP 500,1.5,3.5,0.06,half-Kelly,222,0.4775,-5.41,12.926,-0.406,-0.779,14.379
Clay+Hard,ATP 500+Grand Slam+Masters 1000,2.5,3.25,0.05,half-Kelly,125,0.344,-5.41,12.647,-0.361,-0.238,4.404
Clay+Hard,ATP 500+Grand Slam+Masters 1000,2.5,3.25,0.05,quarter-Kelly,125,0.344,-5.41,12.647,-0.361,-0.119,2.202
Clay+Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.25,4.0,0.07,quarter-Kelly,269,0.3532,-5.41,13.868,-0.504,-0.297,5.489
Clay+Hard,ATP 500+Grand Slam+Masters 1000,2.5,3.75,0.05,flat,174,0.3218,-5.41,12.485,-0.515,-9.42,174.0
Hard,ATP 500,1.5,3.5,0.06,quarter-Kelly,222,0.4775,-5.41,12.926,-0.406,-0.389,7.19
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.0,2.75,0.06,quarter-Kelly,183,0.4044,-5.41,13.87,-0.502,-0.262,4.844
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,3.25,0.05,half-Kelly,125,0.344,-5.41,12.647,-0.361,-0.238,4.404
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,3.25,0.05,quarter-Kelly,125,0.344,-5.41,12.647,-0.361,-0.119,2.202
Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.0,2.75,0.06,half-Kelly,183,0.4044,-5.41,13.87,-0.502,-0.524,9.688
Clay+Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.25,4.0,0.07,quarter-Kelly,269,0.3532,-5.41,13.868,-0.504,-0.297,5.489
Hard,ATP 250+ATP 500,1.5,3.5,0.06,quarter-Kelly,222,0.4775,-5.41,12.926,-0.406,-0.389,7.19
Clay+Hard,Grand Slam+Masters 1000,1.5,3.5,0.07,quarter-Kelly,209,0.4545,-5.41,13.322,-0.576,-0.362,6.681
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.5,0.07,quarter-Kelly,209,0.4545,-5.41,13.322,-0.576,-0.362,6.681
Clay+Hard,ATP 500+Masters 1000,1.75,2.75,0.06,quarter-Kelly,314,0.4459,-5.42,13.053,-0.579,-0.505,9.321
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.5,3.75,0.04,flat,575,0.4557,-5.42,11.552,-1.198,-31.18,575.0
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,2.75,0.05,half-Kelly,573,0.4956,-5.42,11.712,-0.788,-1.991,36.712
Clay+Hard,ATP 500+Masters 1000,1.75,2.75,0.06,half-Kelly,314,0.4459,-5.42,13.053,-0.579,-1.01,18.642
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,2.75,0.05,quarter-Kelly,573,0.4956,-5.42,11.712,-0.788,-0.995,18.356
Hard,ATP 500,1.5,3.25,0.06,half-Kelly,216,0.4815,-5.42,12.998,-0.46,-0.772,14.248
Grass+Hard,ATP 500+Grand Slam+Masters 1000,1.5,3.75,0.04,flat,575,0.4557,-5.42,11.552,-1.198,-31.18,575.0
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,2.75,0.05,half-Kelly,573,0.4956,-5.42,11.712,-0.788,-1.991,36.712
Clay+Hard,ATP 250+ATP 500,2.25,3.75,0.05,flat,139,0.3525,-5.42,12.405,-0.492,-7.53,139.0
Hard,ATP 500,1.5,3.25,0.06,quarter-Kelly,216,0.4815,-5.42,12.998,-0.46,-0.386,7.124
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.75,2.75,0.06,half-Kelly,314,0.4459,-5.42,13.053,-0.579,-1.01,18.642
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,2.75,0.05,quarter-Kelly,573,0.4956,-5.42,11.712,-0.788,-0.995,18.356
Clay+Hard,ATP 500,2.25,3.75,0.05,flat,139,0.3525,-5.42,12.405,-0.492,-7.53,139.0
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.75,2.75,0.06,quarter-Kelly,314,0.4459,-5.42,13.053,-0.579,-0.505,9.321
Hard,ATP 250+ATP 500,1.5,3.25,0.06,half-Kelly,216,0.4815,-5.42,12.998,-0.46,-0.772,14.248
Hard,ATP 250+ATP 500,1.5,3.25,0.06,quarter-Kelly,216,0.4815,-5.42,12.998,-0.46,-0.386,7.124
Hard,ATP 500,2.25,3.5,0.04,flat,89,0.3596,-5.43,12.302,-0.402,-4.83,89.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.03,quarter-Kelly,743,0.4616,-5.43,10.206,-1.554,-1.04,19.155
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,2.75,0.04,quarter-Kelly,628,0.4936,-5.43,11.087,-0.986,-1.036,19.086
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,2.75,0.04,half-Kelly,628,0.4936,-5.43,11.087,-0.986,-2.072,38.173
Hard,ATP 250+ATP 500,2.25,3.5,0.04,flat,89,0.3596,-5.43,12.302,-0.402,-4.83,89.0
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,2.75,0.04,quarter-Kelly,628,0.4936,-5.43,11.087,-0.986,-1.036,19.086
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,2.75,0.04,half-Kelly,628,0.4936,-5.43,11.087,-0.986,-2.072,38.173
Clay+Hard,Grand Slam+Masters 1000,1.5,3.25,0.06,flat,214,0.4626,-5.43,12.672,-0.745,-11.63,214.0
Clay+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.25,0.06,flat,214,0.4626,-5.43,12.672,-0.745,-11.63,214.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.03,half-Kelly,743,0.4616,-5.43,10.206,-1.554,-2.079,38.311
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.03,half-Kelly,743,0.4616,-5.43,10.206,-1.554,-2.079,38.311
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.03,quarter-Kelly,743,0.4616,-5.43,10.206,-1.554,-1.04,19.155
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.5,0.06,flat,585,0.4598,-5.43,12.519,-1.225,-31.78,585.0
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,3.5,0.06,flat,585,0.4598,-5.43,12.519,-1.225,-31.78,585.0
Hard,ATP 500+Grand Slam+Masters 1000,1.75,2.5,0.03,quarter-Kelly,248,0.4919,-5.44,11.242,0.329,-0.363,6.674
Hard,ATP 500,1.5,2.25,0.04,half-Kelly,184,0.5598,-5.44,11.104,0.044,-0.687,12.619
Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,2.5,0.03,quarter-Kelly,248,0.4919,-5.44,11.242,0.329,-0.363,6.674
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.75,3.0,0.05,flat,420,0.431,-5.44,12.471,-1.006,-22.83,420.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.04,half-Kelly,664,0.4623,-5.44,11.004,-1.395,-2.006,36.843
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.04,quarter-Kelly,664,0.4623,-5.44,11.004,-1.395,-1.003,18.422
Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,2.5,0.03,half-Kelly,248,0.4919,-5.44,11.242,0.329,-0.726,13.348
Clay+Grass+Hard,ATP 500+Masters 1000,2.5,3.5,0.04,half-Kelly,168,0.3214,-5.44,11.119,-0.788,-0.275,5.051
Hard,ATP 250+ATP 500,2.25,3.25,0.04,flat,82,0.3659,-5.44,12.529,-0.393,-4.46,82.0
Clay+Grass+Hard,ATP 500+Masters 1000,2.5,3.5,0.04,quarter-Kelly,168,0.3214,-5.44,11.119,-0.788,-0.137,2.526
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.5,3.5,0.04,half-Kelly,168,0.3214,-5.44,11.119,-0.788,-0.275,5.051
Clay+Grass+Hard,ATP 500+Masters 1000,1.75,3.0,0.05,flat,420,0.431,-5.44,12.471,-1.006,-22.83,420.0
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.5,3.5,0.04,quarter-Kelly,168,0.3214,-5.44,11.119,-0.788,-0.137,2.526
Hard,ATP 500,1.5,2.25,0.04,quarter-Kelly,184,0.5598,-5.44,11.104,0.044,-0.343,6.309
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.04,quarter-Kelly,664,0.4623,-5.44,11.004,-1.395,-1.003,18.422
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.04,half-Kelly,664,0.4623,-5.44,11.004,-1.395,-2.006,36.843
Hard,ATP 250+ATP 500,1.5,2.25,0.04,quarter-Kelly,184,0.5598,-5.44,11.104,0.044,-0.343,6.309
Hard,ATP 500,1.5,4.0,0.06,flat,228,0.4649,-5.44,12.926,-0.778,-12.4,228.0
Hard,ATP 250+ATP 500,1.5,2.25,0.04,half-Kelly,184,0.5598,-5.44,11.104,0.044,-0.687,12.619
Hard,ATP 500,2.25,3.25,0.04,flat,82,0.3659,-5.44,12.529,-0.393,-4.46,82.0
Hard,ATP 500+Grand Slam+Masters 1000,1.75,2.5,0.03,half-Kelly,248,0.4919,-5.44,11.242,0.329,-0.726,13.348
Hard,ATP 250+ATP 500,1.5,4.0,0.06,flat,228,0.4649,-5.44,12.926,-0.778,-12.4,228.0
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,3.5,0.06,quarter-Kelly,139,0.3453,-5.45,13.163,-0.041,-0.133,2.444
Grass+Hard,ATP 500+Grand Slam+Masters 1000,1.75,3.75,0.04,flat,424,0.4104,-5.45,12.149,-0.96,-23.11,424.0
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.06,half-Kelly,536,0.4646,-5.45,12.423,-0.879,-1.81,33.231
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.75,0.06,quarter-Kelly,536,0.4646,-5.45,12.423,-0.879,-0.905,16.615
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,1.5,3.5,0.05,flat,279,0.448,-5.45,12.217,-0.822,-15.2,279.0
Clay+Grass+Hard,Grand Slam+Masters 1000,1.5,3.5,0.05,flat,279,0.448,-5.45,12.217,-0.822,-15.2,279.0
Clay+Hard,ATP 500+Grand Slam+Masters 1000,2.5,3.5,0.06,quarter-Kelly,139,0.3453,-5.45,13.163,-0.041,-0.133,2.444
Clay+Hard,ATP 500+Grand Slam+Masters 1000,2.5,3.5,0.06,half-Kelly,139,0.3453,-5.45,13.163,-0.041,-0.267,4.888
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,3.75,0.04,flat,424,0.4104,-5.45,12.149,-0.96,-23.11,424.0
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,1.75,3.25,0.06,flat,322,0.4193,-5.45,13.555,-0.859,-17.56,322.0
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.06,half-Kelly,536,0.4646,-5.45,12.423,-0.879,-1.81,33.231
Clay+Hard,ATP 500+Masters 1000,1.5,3.75,0.06,quarter-Kelly,536,0.4646,-5.45,12.423,-0.879,-0.905,16.615
Grass+Hard,ATP 500+Grand Slam+Masters 1000,1.75,3.25,0.06,flat,322,0.4193,-5.45,13.555,-0.859,-17.56,322.0
Clay+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,3.5,0.06,half-Kelly,139,0.3453,-5.45,13.163,-0.041,-0.267,4.888
Clay+Hard,ATP 500+Masters 1000,1.5,3.5,0.03,quarter-Kelly,727,0.4677,-5.46,10.17,-1.409,-1.037,18.975
Clay+Hard,ATP 500+Masters 1000,1.5,3.5,0.03,half-Kelly,727,0.4677,-5.46,10.17,-1.409,-2.074,37.949
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.5,0.03,half-Kelly,727,0.4677,-5.46,10.17,-1.409,-2.074,37.949
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.5,0.03,quarter-Kelly,727,0.4677,-5.46,10.17,-1.409,-1.037,18.975
Clay+Grass+Hard,ATP 250+ATP 500,2.25,3.25,0.06,quarter-Kelly,136,0.3603,-5.46,13.153,-0.616,-0.157,2.874
Clay+Grass+Hard,ATP 250+ATP 500,2.25,3.25,0.06,half-Kelly,136,0.3603,-5.46,13.153,-0.616,-0.314,5.747
Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.0,3.75,0.05,flat,287,0.3728,-5.46,12.971,-0.739,-15.67,287.0
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.0,3.75,0.05,flat,287,0.3728,-5.46,12.971,-0.739,-15.67,287.0
Clay+Grass+Hard,ATP 500+Masters 1000,1.5,3.0,0.06,flat,537,0.4749,-5.46,12.547,-1.229,-29.3,537.0
Clay,ATP 500+Grand Slam,2.25,3.0,0.05,flat,52,0.3654,-5.46,12.139,-0.315,-2.84,52.0
Clay,ATP 250+ATP 500+Grand Slam,2.25,3.0,0.05,flat,52,0.3654,-5.46,12.139,-0.315,-2.84,52.0
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.75,2.0,0.05,quarter-Kelly,126,0.5238,-5.46,12.573,-0.312,-0.25,4.58
Clay+Hard,ATP 250+ATP 500+Masters 1000,1.75,2.0,0.05,half-Kelly,126,0.5238,-5.46,12.573,-0.312,-0.5,9.161
Clay+Grass+Hard,ATP 500,2.25,3.25,0.06,quarter-Kelly,136,0.3603,-5.46,13.153,-0.616,-0.157,2.874
Clay+Hard,ATP 500+Masters 1000,1.75,2.0,0.05,half-Kelly,126,0.5238,-5.46,12.573,-0.312,-0.5,9.161
Clay+Hard,ATP 500+Masters 1000,1.75,2.0,0.05,quarter-Kelly,126,0.5238,-5.46,12.573,-0.312,-0.25,4.58
Clay+Grass+Hard,ATP 500,2.25,3.25,0.06,half-Kelly,136,0.3603,-5.46,13.153,-0.616,-0.314,5.747
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,1.5,3.0,0.06,flat,537,0.4749,-5.46,12.547,-1.229,-29.3,537.0
Hard,ATP 250+ATP 500+Grand Slam,1.75,3.5,0.04,flat,227,0.4229,-5.47,12.238,-0.725,-12.42,227.0
Hard,ATP 500+Grand Slam,1.75,3.5,0.04,flat,227,0.4229,-5.47,12.238,-0.725,-12.42,227.0
Grass+Hard,ATP 500,1.5,3.0,0.05,quarter-Kelly,294,0.4932,-5.48,12.275,-0.379,-0.515,9.407
Grass+Hard,ATP 500,1.5,3.0,0.05,half-Kelly,294,0.4932,-5.48,12.275,-0.379,-1.031,18.814
Grass+Hard,ATP 250+ATP 500,1.5,3.0,0.05,half-Kelly,294,0.4932,-5.48,12.275,-0.379,-1.031,18.814
Hard,ATP 250+ATP 500+Grand Slam,1.5,3.5,0.03,flat,361,0.4681,-5.48,10.529,-0.988,-19.79,361.0
Clay+Hard,Grand Slam+Masters 1000,2.0,2.75,0.06,flat,93,0.3978,-5.48,12.953,-0.452,-5.1,93.0
Hard,ATP 500+Grand Slam,1.5,3.5,0.03,flat,361,0.4681,-5.48,10.529,-0.988,-19.79,361.0
Grass+Hard,ATP 250+ATP 500,1.5,3.0,0.05,quarter-Kelly,294,0.4932,-5.48,12.275,-0.379,-0.515,9.407
Clay+Hard,ATP 250+Grand Slam+Masters 1000,2.0,2.75,0.06,flat,93,0.3978,-5.48,12.953,-0.452,-5.1,93.0
Clay+Grass+Hard,Masters 1000,2.0,3.25,0.06,half-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.211,3.846
Grass+Hard,ATP 500+Masters 1000,1.75,3.5,0.06,half-Kelly,296,0.4257,-5.49,13.344,-0.301,-0.886,16.151
Clay+Hard,ATP 250+Masters 1000,2.0,3.25,0.06,quarter-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.106,1.923
Clay+Hard,ATP 250+Masters 1000,2.0,3.25,0.06,half-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.211,3.846
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.5,4.0,0.06,flat,134,0.3209,-5.49,13.203,-0.457,-7.35,134.0
Clay+Grass+Hard,ATP 250+Masters 1000,1.5,3.25,0.04,flat,204,0.4706,-5.49,10.669,-0.752,-11.2,204.0
Grass+Hard,Grand Slam+Masters 1000,1.5,4.0,0.03,flat,248,0.4315,-5.49,10.78,-0.754,-13.62,248.0
Clay+Grass+Hard,Masters 1000,2.0,3.25,0.06,quarter-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.106,1.923
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.0,3.0,0.06,quarter-Kelly,202,0.401,-5.49,13.839,-0.393,-0.285,5.187
Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.5,4.0,0.06,flat,134,0.3209,-5.49,13.203,-0.457,-7.35,134.0
Grass+Hard,ATP 250+Grand Slam+Masters 1000,1.5,4.0,0.03,flat,248,0.4315,-5.49,10.78,-0.754,-13.62,248.0
Grass+Hard,ATP 250+ATP 500+Masters 1000,1.75,3.5,0.06,half-Kelly,296,0.4257,-5.49,13.344,-0.301,-0.886,16.151
Grass+Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.0,3.0,0.06,half-Kelly,202,0.401,-5.49,13.839,-0.393,-0.569,10.375
Grass+Hard,ATP 250+ATP 500+Masters 1000,1.75,3.5,0.06,quarter-Kelly,296,0.4257,-5.49,13.344,-0.301,-0.443,8.075
Clay+Hard,Masters 1000,2.0,3.25,0.06,quarter-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.106,1.923
Grass+Hard,ATP 500+Grand Slam+Masters 1000,2.0,3.0,0.06,half-Kelly,202,0.401,-5.49,13.839,-0.393,-0.569,10.375
Clay+Grass+Hard,ATP 250+Masters 1000,2.0,3.25,0.06,quarter-Kelly,87,0.4023,-5.49,12.423,-0.126,-0.106,1.923
