match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,p1_is_winner,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,winner_won
14,2015-01-04,3,2,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
15,2015-01-04,14,4,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
15,2015-01-04,14,4,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
16,2015-01-04,5,6,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
16,2015-01-04,5,6,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
17,2015-01-04,8,7,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
17,2015-01-04,8,7,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
18,2015-01-04,15,9,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
18,2015-01-04,15,9,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
19,2015-01-04,11,10,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
19,2015-01-04,11,10,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
20,2015-01-04,16,12,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
20,2015-01-04,16,12,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
21,2015-01-04,13,3,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
21,2015-01-04,13,3,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
22,2015-01-04,14,5,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
22,2015-01-04,14,5,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
23,2015-01-04,15,8,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
23,2015-01-04,15,8,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
24,2015-01-04,16,11,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
24,2015-01-04,16,11,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
25,2015-01-04,13,14,42.0,6,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
25,2015-01-04,13,14,42.0,6,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
26,2015-01-04,15,16,42.0,6,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
26,2015-01-04,15,16,42.0,6,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
27,2015-01-04,13,15,42.0,7,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
27,2015-01-04,13,15,42.0,7,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
28,2015-01-05,17,191,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
28,2015-01-05,17,191,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
29,2015-01-05,18,110,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
29,2015-01-05,18,110,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
30,2015-01-05,19,90,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
30,2015-01-05,19,90,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
31,2015-01-05,20,121,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
31,2015-01-05,20,121,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
32,2015-01-05,21,825,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
32,2015-01-05,21,825,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
33,2015-01-05,22,76,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
33,2015-01-05,22,76,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
34,2015-01-05,23,231,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
34,2015-01-05,23,231,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
35,2015-01-05,24,75,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
