match_id,match_date,winner_id,loser_id,game_diff,total_games,best_of,d_elo_surface,elo_win_prob,court_speed_index,tier_numeric,surface_Hard,surface_Clay,surface_Grass,p1_hold_surface,p2_hold_surface,d_hold_surface,p1_ace_rate,p2_ace_rate,d_ace_rate,p1_first_serve_pct,p2_first_serve_pct,d_first_serve_pct,p1_avg_games_surface,p2_avg_games_surface,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d
74,2015-01-05,38,39,3,23,3,0.0,0.5,42.0,2,1,0,0,0.8181818181818181,0.9333333333333333,-0.11515151515151523,6.0,7.0,-1.0,64.71,62.11,2.5999999999999943,22.0,30.0,22,30,-8
75,2015-01-05,40,41,7,17,3,0.0,0.5,42.0,2,1,0,0,0.9090909090909091,0.9090909090909091,0.0,8.0,10.0,-2.0,67.19,70.49,-3.299999999999997,21.0,22.0,21,22,-1
76,2015-01-05,43,42,9,15,3,0.0,0.5,42.0,2,1,0,0,0.8181818181818181,0.9090909090909091,-0.09090909090909094,7.5,4.0,3.5,57.175,73.42,-16.245000000000005,19.5,23.0,39,23,16
77,2015-01-05,44,45,6,20,3,0.0,0.5,42.0,2,1,0,0,0.9444444444444444,0.9285714285714286,0.015873015873015817,5.0,8.0,-3.0,60.18,70.83,-10.649999999999999,38.0,28.0,38,28,10
78,2015-01-05,46,47,5,21,3,0.0,0.5,42.0,2,1,0,0,1.0,0.8461538461538461,0.15384615384615385,8.0,6.0,2.0,66.67,76.4,-9.730000000000004,16.0,26.0,16,26,-10
79,2015-01-05,35,32,2,36,3,0.0,0.5,42.0,2,1,0,0,,1.0,,,5.0,,,66.67,,,15.0,0,15,-15
80,2015-01-05,36,38,8,16,3,0.0,0.5,42.0,2,1,0,0,0.8532828282828282,0.9090909090909091,-0.05580808080808086,2.6666666666666665,10.5,-7.833333333333334,61.163333333333334,68.94,-7.776666666666664,23.666666666666668,22.5,71,45,26
81,2015-01-05,43,40,9,15,3,0.0,0.5,42.0,2,1,0,0,0.8787878787878788,0.898989898989899,-0.02020202020202022,6.333333333333333,7.0,-0.666666666666667,59.596666666666664,72.88,-13.283333333333331,18.0,19.0,54,38,16
82,2015-01-05,44,46,4,22,3,0.0,0.5,42.0,2,1,0,0,0.9222222222222223,1.0,-0.07777777777777772,6.0,7.5,-1.5,64.35,64.035,0.3149999999999977,29.0,18.5,58,37,21
83,2015-01-05,36,35,1,39,3,0.0,0.5,42.0,2,1,0,0,0.8587121212121211,1.0,-0.14128787878787885,2.25,21.0,-18.75,63.18000000000001,73.74,-10.559999999999988,21.75,36.0,87,36,51
84,2015-01-05,43,44,7,17,3,0.0,0.5,42.0,2,1,0,0,0.9090909090909091,0.8572390572390572,0.051851851851851816,6.0,5.0,1.0,60.1975,59.13999999999999,1.0575000000000045,17.25,26.666666666666668,69,80,-11
58,2015-01-05,35,81,4,22,3,0.0,0.5,42.0,2,1,0,0,1.0,,,25.5,,,71.485,,,37.5,,75,0,75
72,2015-01-05,35,34,4,22,3,0.0,0.5,42.0,2,1,0,0,1.0,,,26.0,,,68.00333333333333,,,32.333333333333336,,97,0,97
57,2015-01-05,34,107,6,20,3,0.0,0.5,42.0,2,1,0,0,0.8,,,4.0,,,61.54,,,22.0,,22,0,22
49,2015-01-05,30,22,6,20,3,-18.84999999999991,0.4728992551206916,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
