match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
17,2015-01-04,8,7,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,35,-35,52.0,0.0,52.0,,0.0,0.4983450230083132,0,36,2.0,0,0
16,2015-01-04,5,6,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,19,0,19,0.0,52.0,-52.0,,0.4983450230083132,0.0,0,33,-3.0,1,1
16,2015-01-04,5,6,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,19,-19,52.0,0.0,52.0,,0.0,0.4983450230083132,0,33,-3.0,0,0
15,2015-01-04,14,4,42.0,3,3,2,1,0,0,0,0,1,0,0,-20.0,-20.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,35,0,35,0.0,52.0,-52.0,,-0.05889457781484031,0.0,0,32,0.0,1,1
15,2015-01-04,14,4,42.0,3,3,2,1,0,0,0,0,1,0,0,20.0,20.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,35,-35,52.0,0.0,52.0,,0.0,-0.05889457781484031,0,32,0.0,0,0
20,2015-01-04,16,12,42.0,3,3,2,1,0,0,0,0,1,0,0,-20.0,-20.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,55,0,55,0.0,52.0,-52.0,,-0.05889457781484031,0.0,0,22,4.0,1,1
20,2015-01-04,16,12,42.0,3,3,2,1,0,0,0,0,1,0,0,20.0,20.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,55,-55,52.0,0.0,52.0,,0.0,-0.05889457781484031,0,22,4.0,0,0
13,2015-01-04,13,1,42.0,3,3,2,1,0,0,0,0,1,0,0,-20.0,-20.0,,0.0,0.0,,-10.0,,,-0.09999999999999998,0,2,3,1,0.5,0.5,0.5,0.5,,,62,16,46,0.0,0.0,0.0,-0.03125,-0.568857884392215,-0.4712494361077314,0,29,3.0,1,1
13,2015-01-04,13,1,42.0,3,3,2,1,0,0,0,0,1,0,0,20.0,20.0,,-0.0,-0.0,,10.0,,,0.09999999999999998,0,-2,1,3,0.5,0.5,0.5,0.5,,,16,62,-46,0.0,0.0,-0.0,0.03125,-0.4712494361077314,-0.568857884392215,0,29,3.0,0,0
14,2015-01-04,3,2,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,13,0,13,0.0,52.0,-52.0,,0.4983450230083132,0.0,0,32,2.0,1,1
